ID,Code,Name
9425,333738,50,타체
9431,333739,50,귀댜
9455,333743,50,녀러
9463,333744,50,지크
9464,333745,50,쇼비
9515,333753,50,쏘캬
9528,333754,50,쀼퉤
9539,333756,50,께쨔
9561,333759,50,뇌더
9566,333760,50,려테
9617,333770,50,쫘피
9640,333774,50,도뤠
9660,333778,50,슈므
9668,333778,50,끼쿠
9744,333794,50,기구
9761,333797,49,퓌톼
9785,333802,49,듸홰
9860,333817,49,라쑈
9925,333830,49,쒀비
9926,333830,49,뛔꿰
9962,333836,49,퇘뜨
10002,333844,49,계눠
10022,333849,49,져튀
10050,333856,49,녀다
10165,333877,49,큐뇨
10183,333880,49,쉬페
10185,333881,49,씨뭐
10199,333883,49,추규
10213,333885,49,홰혜
10223,333886,49,쾌너
10259,333894,49,워구
10331,333910,49,냐쒜
10387,333919,49,수뱌
10422,333925,49,줘피
10428,333926,49,큐쟈
10466,333932,49,홰해
10504,333938,49,내쑤
10519,333940,49,우쮜
10611,333956,49,텨좨
10680,333967,49,춰훠
10695,333969,49,주쮸
10730,333974,49,계틔
10740,333975,49,뾔다
10747,333976,49,햐토
10776,333982,49,뽀퇴
10780,333982,49,세묘
10823,333989,49,푀퀘
10831,333990,49,희러
10835,333991,49,숴죄
10851,333993,49,뼈최
10925,334005,49,쇼까
10952,334010,48,쉐메
10991,334016,48,뭐톼
11031,334024,48,쑈위
11055,334027,48,류찌
11067,334029,48,댜노
11084,334032,48,계사
11121,334037,48,뮈과
11133,334039,48,태훼
11206,334055,48,뾔푸
11210,334056,48,쫘웨
11216,334057,48,껴후
11246,334064,48,돼쉐
11286,334071,48,붜뇨
11290,334072,48,투벼
11337,334080,48,되터
11346,334081,48,하궈
11352,334083,48,둬숴
11356,334084,48,켸쉬
11357,334084,48,뮈포
11405,334093,48,너쳬
11485,334107,48,휘롸
11520,334115,48,뛰때
11553,334121,48,뒤배
11566,334124,48,태꽤
11567,334124,48,퇴쐬
11587,334129,48,떼콰
11613,334133,48,깨긔
11638,334137,48,쒜푀
11673,334142,48,츄뇌
11681,334144,48,퍄췌
11842,334175,47,퓨쮜
11850,334176,47,재씨
11905,334190,47,히궤
11910,334191,47,씌새
11921,334193,47,뇌췌
11953,334197,47,롸제
11961,334197,47,괴퀘
12016,334206,47,흐켸
12019,334207,47,째쵸
12042,334210,47,툐교
12056,334213,47,괘노
12177,334236,47,푸콰
12226,334246,47,줘뮈
12261,334252,47,저뮈
12292,334258,47,취싸
12432,334280,47,뎌쏴
12455,334284,47,촤계
12462,334286,47,쀼래
12503,334293,47,타데
12578,334305,47,톼꺼
12645,334319,47,무쩨
12708,334332,47,챠푀
12718,334333,47,쭈붜
12773,334342,47,쿼혜
12774,334342,47,쬐외
12791,334345,47,봐쎄
12810,334348,47,켜졔
12820,334350,47,줴튀
