Name,Senti_scores
겨크,0.928724467754364
페에,0.9281385540962219
베키,0.9273980259895325
듀슈,0.9271202087402344
유파,0.9270487427711487
류지,0.9269628524780273
에긔,0.9262474179267883
거겨,0.9262189865112305
큐뇨,0.9259434938430786
뮤규,0.9247223734855652
토녀,0.9246280193328857
겨쒀,0.9243214130401611
채쑈,0.9241639971733093
크시,0.9241211414337158
머쇼,0.9238495826721191
죠으,0.9238142967224121
가기,0.9235104918479919
툐셔,0.9234805107116699
헤쿄,0.9231378436088562
쇼하,0.9225834012031555
쿄어,0.92197185754776
에와,0.9219375848770142
거와,0.9218783378601074
토느,0.9203112125396729
토페,0.9200543165206909
토애,0.9200507998466492
프쿄,0.9193639159202576
유투,0.918684184551239
춰표,0.9180812239646912
톼쏘,0.9175921082496643
궈퍼,0.9174652695655823
헤에,0.9171484112739563
풔쿄,0.9167924523353577
키처,0.916737973690033
포됴,0.9166020154953003
요츄,0.9163056015968323
뭐스,0.9160676002502441
숴커,0.9158346056938171
가워,0.9156681299209595
애코,0.9150789380073547
투소,0.91492760181427
뮤페,0.9145200252532959
으사,0.9142800569534302
커쒀,0.9133915305137634
퉈쑈,0.9133731126785278
타시,0.9131664037704468
쳐투,0.9128923416137695
텨기,0.912691593170166
뇨쎄,0.9126295447349548
뮤케,0.9126080274581909
패쇼,0.9125215411186218
모퓨,0.9125158786773682
펴쎄,0.9122282266616821
토바,0.9114733934402466
뇨세,0.9109067916870117
기쿼,0.9107847213745117
뇨쓰,0.9103761315345764
포으,0.9101396799087524
가게,0.9099394679069519
교레,0.9089614748954773
개으,0.9087892174720764
묘쏘,0.9085687398910522
터우,0.9084413051605225
교즈,0.9082673192024231
커페,0.9082410335540771
헤기,0.9080979824066162
거가,0.9074499607086182
혀오,0.9071193337440491
크오,0.9064152836799622
그파,0.9064007997512817
테뉴,0.9063659310340881
호펴,0.9054463505744934
치거,0.9053841829299927
과어,0.9051010012626648
쎄슈,0.9050508737564087
가펴,0.9044523239135742
티뇨,0.9040701389312744
기묘,0.9037225246429443
기구,0.9032672047615051
레수,0.9030255675315857
쵸보,0.9027624726295471
뉴쏘,0.9027021527290344
표게,0.9026304483413696
노쿄,0.9019938707351685
네표,0.901862382888794
쥬테,0.9015860557556152
로터,0.9013677835464478
니에,0.9010201096534729
카테,0.9009051322937012
유궈,0.9005150198936462
이텨,0.9004877209663391
조고,0.9004374146461487
아켜,0.9004135131835938
미쿄,0.9004017114639282
티가,0.9003500938415527
춰의,0.9003466367721558
즈씨,0.9003033638000488
초베,0.8997711539268494
교카,0.8996755480766296
수쏘,0.899385392665863
게러,0.8993140459060669
애테,0.8987220525741577
저케,0.8982414603233337
에자,0.8979005217552185
유됴,0.8978755474090576
사펴,0.8975179195404053
으리,0.8968163132667542
여너,0.8966571688652039
세싸,0.8959103226661682
콰유,0.8958739638328552
초듸,0.8955307006835938
체됴,0.894917368888855
서휴,0.8945547938346863
치제,0.8943867683410645
재씨,0.8940726518630981
셔솨,0.8937366008758545
궈뉴,0.8936283588409424
녀고,0.8935209512710571
퍼토,0.8932091593742371
솨스,0.8931669592857361
터츄,0.8926638960838318
쳐쒀,0.8925947546958923
체텨,0.8923428058624268
머소,0.8922993540763855
티씌,0.8916499614715576
와씨,0.8911816477775574
게붜,0.8910912275314331
츄거,0.8908652067184448
려토,0.8907973170280457
큐타,0.8906031250953674
트켜,0.890408992767334
치쒀,0.890373170375824
가네,0.8901038765907288
펴긔,0.8897053003311157
시씌,0.8892939686775208
이풔,0.8892410397529602
그히,0.8889796137809753
여희,0.8888781666755676
히의,0.8884721994400024
세늬,0.8884283304214478
재쎄,0.8883646726608276
어개,0.8881320357322693
죠보,0.8880739212036133
이버,0.8877249360084534
어쿼,0.8867087364196777
어카,0.8865761756896973
그솨,0.8865296840667725
쳐타,0.88641756772995
태세,0.8863279223442078
처풔,0.8862546682357788
뭐서,0.8862158060073853
툐비,0.8852607607841492
버쇼,0.8846905827522278
저써,0.8846585750579834
후유,0.8841622471809387
트투,0.8834275007247925
라쑈,0.8826746344566345
벼세,0.8825348019599915
게퐈,0.8825142979621887
여켜,0.8823942542076111
테구,0.8823874592781067
즈셔,0.8809896111488342
새숴,0.8805304169654846
캐츄,0.8802118301391602
휴치,0.8800257444381714
워게,0.8799765706062317
춰기,0.8796547055244446
터벼,0.8795526623725891
뭐퓨,0.8795059323310852
페치,0.879257321357727
호둬,0.8789523839950562
고훠,0.87886643409729
지크,0.8787386417388916
뎌숴,0.8786185383796692
