name,score
쇼터,0.9540929198265076
기송,0.9539757370948792
유피,0.9536740183830261
신격,0.9536740183830261
오에,0.9535813927650452
육교,0.9534615278244019
셀유,0.9534559845924377
아서,0.9533111453056335
요청,0.9532867670059204
상일,0.9532511234283447
치요,0.9531172513961792
이용,0.9530836939811707
천섬,0.9529548287391663
오산,0.9528611898422241
격이,0.9527432322502136
홍섬,0.9526379704475403
역임,0.9525465369224548
신규,0.9524417519569397
쇼엉,0.9522269368171692
민이,0.952150821685791
암신,0.9520439505577087
연서,0.9520085453987122
성견,0.9519472718238831
기현,0.951901376247406
열심,0.9518446922302246
연오,0.9517332315444946
통솔,0.9516927003860474
여으,0.9516615271568298
민쓱,0.9516128301620483
심온,0.9515209794044495
육손,0.951483428478241
인규,0.9511718153953552
시름,0.9511361718177795
건현,0.9511359333992004
의은,0.9510027766227722
심오,0.9509931802749634
속연,0.9509711861610413
치임,0.9509601593017578
천승,0.95081627368927
요원,0.950762152671814
촌식,0.9506433606147766
경기,0.9505151510238647
역시,0.9504154324531555
은영,0.9503158330917358
정요,0.9503134489059448
신형,0.9502769708633423
림잉,0.950114905834198
신균,0.9500625729560852
롱은,0.9498229026794434
오피,0.9497944116592407
이열,0.9497120380401611
진석,0.949635922908783
요설,0.9495866894721985
조서,0.9495371580123901
류설,0.9495371580123901
가오,0.9493657350540161
규아,0.9492049217224121
초은,0.9491724967956543
거터,0.9491545557975769
기왕,0.9490416049957275
제오,0.948971152305603
공터,0.9489349722862244
상철,0.9489322900772095
은인,0.9488933086395264
어서,0.9488884806632996
청식,0.9488781094551086
사세,0.9488205909729004
유천,0.9488171339035034
히슈,0.9487202167510986
전연,0.9486503005027771
토디,0.9485867619514465
코치,0.948525071144104
신곡,0.9484870433807373
세안,0.9484702944755554
정인,0.9482766389846802
키안,0.9481990337371826
상성,0.9481909275054932
권등,0.948148250579834
거실,0.9481450319290161
공포,0.9480875730514526
여객,0.9480812549591064
의석,0.9480809569358826
호씨,0.9479902386665344
휴시,0.9479608535766602
면유,0.9478552341461182
팀원,0.9478197693824768
민쥰,0.947719156742096
초잉,0.9477071166038513
리온,0.9475842714309692
임금,0.9475809335708618
츄응,0.9475255012512207
의경,0.947442352771759
가슴,0.9473634958267212
어영,0.9472942352294922
유능,0.9472678303718567
소민,0.9472458958625793
강원,0.947106659412384
알은,0.9471017718315125
인키,0.94701087474823
유격,0.946877121925354
턴왕,0.9468376040458679
턴스,0.9468008279800415
로키,0.9466166496276855
송민,0.9465177059173584
킹온,0.9464820623397827
로오,0.9464409351348877
가음,0.9464316368103027
행쇼,0.9463352560997009
서이,0.9462719559669495
사상,0.9460186958312988
일격,0.9460144639015198
연진,0.9459720849990845
셍엉,0.9458647966384888
손성,0.9457851052284241
애심,0.94571453332901
킴율,0.9456413984298706
윤택,0.9455294013023376
심플,0.9454348683357239
킬테,0.9454097151756287
유턴,0.9453784823417664
광선,0.9453275799751282
현경,0.9453141093254089
엥아,0.9452945590019226
상식,0.9452637434005737
영전,0.9451895952224731
승연,0.9451785683631897
고글,0.9451369047164917
쇼각,0.945046603679657
원일,0.9450374841690063
쇼핑,0.9450211524963379
인울,0.9449920058250427
치이,0.9449598789215088
연행,0.9449371695518494
고치,0.9449344277381897
천원,0.9448860883712769
커지,0.9447458386421204
퓨퓨,0.9446647763252258
로솜,0.9446238875389099
지슈,0.9446013569831848
창석,0.9444601535797119
한영,0.9444335699081421
기각,0.9443908929824829
격상,0.9442700147628784
유진,0.9441841840744019
곰임,0.944086492061615
그퓨,0.9440678954124451
광일,0.9439950585365295
게게,0.9439101815223694
오완,0.9438868165016174
권썽,0.9437931180000305
일감,0.9437181949615479
왕큼,0.9437061548233032
기기,0.9434458017349243
일건,0.9433453679084778
여가,0.9432775974273682
여의,0.9431665539741516
텐슈,0.9430639147758484
겨울,0.9430574178695679
공습,0.9430263638496399
공테,0.9429099559783936
리토,0.942849338054657
상검,0.9428187012672424
처서,0.9427912831306458
민형,0.9427886605262756
슈퍼,0.9426314234733582
고정,0.942499041557312
송빈,0.9424508213996887
권우,0.9423651099205017
상현,0.9423518776893616
흉영,0.9422703385353088
간응,0.9422594308853149
치쏘,0.9422150254249573
교통,0.9421667456626892
유운,0.942122220993042
이득,0.9420729875564575
조교,0.9420253038406372
선인,0.9419949054718018
코콕,0.9419760704040527
홍청,0.9419664740562439
안산,0.9417876601219177
서경,0.9416276812553406
교감,0.941448450088501
강민,0.9414165616035461
김씨,0.9413203001022339
홍실,0.9412747621536255
상민,0.9412274956703186
한석,0.9412266612052917
호연,0.9411202669143677
여든,0.94110107421875
리산,0.9410773515701294
건초,0.941039502620697
임팩,0.9410042762756348
공전,0.940890371799469
뮨뮨,0.9408112168312073
이림,0.9406914114952087
기정,0.9406464695930481
솔원,0.9404160380363464
교황,0.9403197765350342
로코,0.9402761459350586
사일,0.940121591091156
토온,0.9400944113731384
기곰,0.9400465488433838
진슬,0.9400002360343933
간언,0.9399317502975464
식콩,0.9399261474609375
민족,0.9397643208503723
악산,0.9396510720252991
결전,0.9396166205406189
광식,0.9395211935043335
송하,0.939490795135498
간섭,0.9394671320915222
젠요,0.9394543766975403
기닌,0.9394512176513672
초용,0.9394373297691345
헨쇼,0.9394261837005615
혼신,0.9394139647483826
공애,0.939354658126831
소베,0.9392655491828918
커세,0.9392589330673218
진격,0.9391152262687683
상혼,0.9389719367027283
치안,0.9389095902442932
정속,0.9389061331748962
알식,0.9388776421546936
엥잔,0.9388121962547302
섹츄,0.9385822415351868
사클,0.9385702610015869
캥이,0.9385288953781128
솔토,0.9385017156600952
밍안,0.9384865164756775
근기,0.938481867313385
간곡,0.938478410243988
몽심,0.9384700059890747
오지,0.938465416431427
골각,0.9384303092956543
착각,0.9383305907249451
석인,0.938226580619812
고노,0.9381945729255676
영호,0.9381917715072632
정세,0.9381887316703796
승은,0.9381381273269653
캐씨,0.9380888342857361
소검,0.938016951084137
겸손,0.9379543662071228
컨킹,0.9378907084465027
군연,0.9378604292869568
친츄,0.937828004360199
진겸,0.9378014802932739
기츄,0.9376402497291565
갈씽,0.9375795722007751
창각,0.937504231929779
암실,0.9374909400939941
섬연,0.9374475479125977
속됴,0.9373024702072144
큐션,0.937208890914917
곡곡,0.937134325504303
연등,0.937126874923706
관성,0.9371030330657959
로도,0.9370765686035156
경탄,0.9370368719100952
영효,0.9369694590568542
레어,0.9367770552635193
카키,0.9367511868476868
가고,0.9367489218711853
칠선,0.9367064237594604
카시,0.9366915822029114
간결,0.9365932941436768
갱이,0.9362675547599792
기함,0.9362169504165649
익살,0.9361969232559204
제코,0.9361754655838013
승안,0.9361104965209961
라이,0.9360703825950623
서사,0.9360272884368896
사원,0.9360021948814392
리플,0.9359245896339417
오판,0.9358567595481873
진원,0.9357799887657166
경몬,0.9357776045799255
가을,0.9357714653015137
종원,0.9357569217681885
아으,0.9356546401977539
우임,0.9355500936508179
격참,0.9354591965675354
애인,0.9354159235954285
일존,0.9353742003440857
익숙,0.9353377819061279
턴턴,0.9353061318397522
졍이,0.9351599216461182
시팡,0.9351404309272766
장소,0.9351173639297485
틴빔,0.9350915551185608
고객,0.9350154399871826
연님,0.9350051283836365
라쇼,0.9349726438522339
치현,0.9349582195281982
견디,0.9348803758621216
민홍,0.9348743557929993
체육,0.9348188042640686
건고,0.9347788095474243
연밍,0.934737503528595
긴장,0.9346257448196411
시프,0.9346128106117249
콩욱,0.9344593286514282
아설,0.9344028234481812
